Date,BTC Price,NUPL,Young-NUPL,Old-NUPL,Euphoria (2-of-3),Euphoria (3-of-3),Max Pain
2021-08-15,47074.370710111,0.5697047637939431,0.0485349211193738,0.756414800091271,0.0,0.0,0.0
2021-08-16,45984.7199070719,0.559120421960309,0.027406031611514198,0.7500356635154305,0.0,0.0,0.0
2021-08-17,44714.0967982466,0.5464253833684473,0.0015706642757611373,0.7419896447410205,0.0,0.0,0.0
2021-08-18,44954.3637469316,0.5482636653807915,0.00849887664957862,0.7397680886808571,0.0,0.0,0.0
2021-08-19,46646.8615049679,0.5639147595209748,0.045936347235409576,0.7454180277758823,0.0,0.0,0.0
2021-08-20,49240.8356049094,0.5858354566487509,0.0971500230714739,0.7575737727974332,0.0,0.0,0.0
2021-08-21,49070.2409701929,0.5838987750388154,0.09500699979195103,0.7554909093010546,0.0,0.0,0.0
2021-08-22,49363.3160952659,0.5859207379002326,0.10116722318008377,0.7551651518573916,0.0,0.0,0.0
2021-08-23,49590.8763676213,0.5867837041151767,0.10573206208066663,0.7522739886883498,0.0,0.0,0.0
2021-08-24,47925.8622127411,0.572274188588977,0.07541606734846967,0.7418738144952729,0.0,0.0,0.0
2021-08-25,49002.3166049094,0.5796587708307239,0.09688932035602957,0.7462644450006612,0.0,0.0,0.0
2021-08-26,47190.3449929866,0.5628963254932375,0.063064951945485,0.7364611341186783,0.0,0.0,0.0
2021-08-27,49048.4755891292,0.5789735165705161,0.09904570579270809,0.7461539864297125,0.0,0.0,0.0
2021-08-28,48852.4687995324,0.5769813068876877,0.09662668103174098,0.7450077691852651,0.0,0.0,0.0
2021-08-29,48948.3479579193,0.5775738817110512,0.09889191123172099,0.744710893802938,0.0,0.0,0.0
2021-08-30,47125.7685189947,0.5610109374892217,0.06440187399663398,0.73456135797641,0.0,0.0,0.0
2021-08-31,47219.2443424898,0.5614248345319179,0.06752034873282559,0.7350463741169578,0.0,0.0,0.0
2021-09-01,48688.5375572764,0.5738124093820882,0.09690591309172303,0.7429719472416201,0.0,0.0,0.0
2021-09-02,49369.5862746932,0.5789535824851625,0.11037214158317399,0.7443403732457462,0.0,0.0,0.0
